NaN^NaN^jN8tFVrxvn_NyQhafHPEmg^Hyattsville, MD 20783^['University of Maryland - College Park']^-76.971244812^NaN^NaN^NaN^True^['Makeup Artists', 'Beauty and Spas']^http://s3-media2.ak.yelpcdn.com/bphoto/3l3SYvzOKiKnvK6haDoI4g/ms.jpg^Hyattsville^3^Storm Jordan Productions^[]^http://www.yelp.com/biz/storm-jordan-productions-hyattsville^NaN^NaN^MD^5.0^38.9943725621^business^NaN
NaN^NaN^7QNzak_Hn1xqq2fcRFnljg^Blacksburg, VA 24061^['Virginia Tech']^-80.4340429^NaN^NaN^NaN^True^['Colleges & Universities', 'Education']^http://s3-media3.ak.yelpcdn.com/bphoto/hkDzkCxJZ5arOJDozUjXGg/ms.jpg^Blacksburg^5^Virginia Polytechnic Institute and State University^[]^http://www.yelp.com/biz/virginia-polytechnic-institute-and-state-university-blacksburg^NaN^NaN^VA^4.5^37.2261949^business^NaN
NaN^NaN^7WproNY9yxW6p2R3gn6Euw^Champaign, IL 61820^['University of Illinois - Urbana-Champaign']^-88.2412504^NaN^NaN^NaN^True^['Hotels & Travel', 'Taxis', 'Transportation']^http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif^Champaign^4^C-U Taxi^[]^http://www.yelp.com/biz/c-u-taxi-champaign^NaN^NaN^IL^2.5^40.1063691^business^NaN
NaN^NaN^NbHhvYX2yk8sNRsNR2wL6A^San Luis Obispo, CA^['California Polytechnic State University']^-120.6596156^NaN^NaN^NaN^True^['Pet Services', 'Pet Training', 'Pets']^http://s3-media4.ak.yelpcdn.com/bphoto/3MoIEP5zw9br1cLGdIlY-A/ms.jpg^San Luis Obispo^3^Canine Tutors Dog Training^[]^http://www.yelp.com/biz/canine-tutors-dog-training-san-luis-obispo^NaN^NaN^CA^2.5^35.2827524^business^NaN
NaN^NaN^ItB4MzEK8bZae3FdmqZSsQ^Claremont, CA 91711^['Harvey Mudd College']^-117.7197785^NaN^NaN^NaN^True^['Local Services', 'Carpet Cleaning']^http://s3-media1.ak.yelpcdn.com/bphoto/BjsVG4zMyvh2HXguIeR9tw/ms.jpg^Claremont^4^Good Faith Carpet Cleaning^[]^http://www.yelp.com/biz/good-faith-carpet-cleaning-claremont^NaN^NaN^CA^5.0^34.0966764^business^NaN
NaN^NaN^AbB1MOLe_qylcAoRZMe1UA^Mountain View, CA 94309^['Stanford University']^-122.17^NaN^NaN^NaN^True^['Photographers', 'Event Planning & Services']^http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif^Mountain View^6^Jay Tsai Photography^[]^http://www.yelp.com/biz/jay-tsai-photography-mountain-view^NaN^NaN^CA^5.0^37.42^business^NaN
NaN^NaN^x93OG15S1uAkHknrTg5_Jw^Claremont, CA 91711^['Harvey Mudd College']^-117.7197785^NaN^NaN^NaN^True^['Local Services', 'Pest Control']^http://s3-media2.ak.yelpcdn.com/bphoto/IVxxv0LJ_t6ymdNiIUR4Mw/ms.jpg^Claremont^2^Bee Removers^[]^http://www.yelp.com/biz/bee-removers-claremont^NaN^NaN^CA^3.0^34.0966764^business^NaN
NaN^NaN^3J9sNtEsONIL-F2tQHfTUg^San Luis Obispo, CA^['California Polytechnic State University']^-120.6596156^NaN^NaN^NaN^True^['Photographers', 'Videographers', 'Event Planning & Services']^http://s3-media3.ak.yelpcdn.com/bphoto/Q7m5BEjBKGKmI5oTAm9zlQ/ms.jpg^San Luis Obispo^3^Ely Roberts Photography^[]^http://www.yelp.com/biz/ely-roberts-photography-san-luis-obispo^NaN^NaN^CA^5.0^35.2827524^business^NaN
NaN^NaN^W_qugmWCqPjAhqgiDO1rPg^Ithaca, NY 14850^['Cornell University']^-76.5257007^NaN^NaN^NaN^True^['Arts & Entertainment', 'Psychics & Astrologers']^http://s3-media3.ak.yelpcdn.com/bphoto/8CL5lCl_T_B3p05g0OLQGQ/ms.jpg^Ithaca^2^Throne of Osiris Tarot Lessons & Readings^[]^http://www.yelp.com/biz/throne-of-osiris-tarot-lessons-and-readings-ithaca^NaN^NaN^NY^5.0^42.435511^business^NaN
NaN^NaN^apSX0LOOOVH-W9EqpdoFmQ^Chapel Hill, NC 27515^['University of North Carolina - Chapel Hill']^-79.0563^NaN^NaN^NaN^True^['Active Life', 'Parks']^http://s3-media4.ak.yelpcdn.com/bphoto/yDs2o-0zhelgXFBqNy7beA/ms.jpg^Chapel Hill^8^Bolin Creek Greenway^[]^http://www.yelp.com/biz/bolin-creek-greenway-chapel-hill^NaN^NaN^NC^4.0^35.9131^business^NaN
